,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - דו גלגלי - נפגעים - קל,נפגעים - הרוגים,תאונות - כללי - קטלניות,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קלות,תאונות - משאית - נפגעים - קל,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - תאונות - קשות,תאונות - משאית - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - תאונות - קשות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - תאונות - קטלניות
40::כניסה לעדנים (דרום):כניסה לאלישמע,1,18,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42::כניסה לכפר הנגיד:כניסה לדאר,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42::כניסה לדאר:כניסה לעיינות,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה לתרום:כניסה לכפר אוריה,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44::כניסה לכרמי יוסף:כניסה לפתחיה,1,3,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
44::צומת רמלה - צפון:השוק הסיטונאי (צריפין),1,16,1,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
44::הסוכנות (צריפין):צומת צריפין,1,7,0,3,4,1,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
44::צומת צריפין:כניסה לראשון לציון רח הרצוג חי,1,4,0,1,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"44::יישוב חולון רח המכתש:כניסה לבי""ס מקווה ישראל",1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55::צומת כפר סבא רח וייצמן:כניסה לשיכון יוספטל,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה לשיכון יוספטל:כניסה לאלפי מנשה,1,5,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה לאלפי מנשה:צומת צופין,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה לבית אריזה:כניסה למעלה שומרון,2,13,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה לקרני שומרון:כניסה לאזור תעשיה,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55::כניסה לאזור תעשיה:כניסה לקדומים,1,6,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57::כניסה לשיכון ותיקים (דגניה):צומת השרון,1,6,1,5,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
57::צומת השרון:כניסה לכפר יונה (מערב),2,2,1,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
57::כניסה לחניאל:כניסה לבורגתה-תנובות,1,14,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57::כניסה לבורגתה-תנובות:צומת מכורה,1,38,1,16,0,1,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0
60::כניסה לתחנת דלק:צומת שוקת,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת לכרמים:צומת עתניאל,2,9,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60::צומת העוקפים:כניסה לכרמי צור,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לאל-ערוב:כניסה לאלעזר,4,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לעפרה:כניסה לשילה,1,27,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60::כניסה לעמוריה:צומת קבלן,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::צומת קבלן:כניסה לרחלים,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לקוזה:צומת עוקף שכם (דרום),1,12,1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
60::צומת עוקף שכם (דרום):כניסה לדיר שרף,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60::כניסה לצנדלה:צומת גן דוד,2,20,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::צומת נחל חדרה:צומת חדרה (מזרח),1,11,1,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
65::כניסה ליער עירון+מחצבה:כניסה לכפר קרע,1,7,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65::כניסה לכפר קרע:כניסה לתחנת דלק עירון,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65::כניסה לערה:כניסה למשטרת עירון,3,7,1,2,0,1,1,0,0,3,0,0,2,1,1,0,0,0,0,1,0,0,0
65::כניסה למשטרת עירון:כניסה לח אל-בטן,1,10,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לח אל-בטן:כניסה לאום אל-פחם,1,15,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לאום אל-פחם:כניסה לעין איברהים,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה לאל משירפה:כניסה לגבעת המורה,9,38,7,11,1,0,0,2,2,9,1,1,1,0,0,0,0,0,1,0,0,0,0
"65::צומת מנחם אוסישקין:כניסה לבי""ס כדורי",1,9,1,3,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
"65::כניסה לבי""ס כדורי:כניסה לבית קשת",1,7,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
65::כניסה לבית קשת:כניסה לאילנייה,1,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65::כניסה לאילנייה:צומת נטופה,3,41,1,11,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
65::צומת נטופה:כניסה להר הקוץ,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65::כניסה להר רביד:יישוב עפולה (לבריכת שמואל),1,7,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
70::צומת התשבי:צומת דשנים,1,39,1,14,4,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
70::צומת דשנים:כניסה לראס עלי,1,22,1,6,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לראס עלי:צומת אבלים,3,28,2,8,3,0,0,0,0,8,1,1,0,0,0,0,0,1,0,0,0,0,0
70::צומת אבלים:צומת אעבלין,2,21,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70::צומת אעבלין:כניסה לתמרה,1,37,1,11,0,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לתמרה:כניסה למחצבה,1,19,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לכאבול:כניסה ליבור,2,15,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה ליבור:כניסה לעצמון,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לעצמון:כניסה ליסעור,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה ליסעור:כניסה לאחיהוד,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70::כניסה לאחיהוד:כניסה לגדידה,3,36,2,10,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
70::כניסה לטל-אל:כניסה לכפר יסיף,2,35,2,8,3,0,0,0,0,4,2,2,1,0,0,0,0,0,1,0,0,0,0
70::כניסה לכפר יסיף:כניסה לכפר יסיף (צפון),1,7,1,4,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
70::כניסה לכפר יסיף (צפון):כניסה לאבו סנאן,2,32,2,4,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
70::כניסה לאבו סנאן:כניסה לבית העמק,2,22,2,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
70::צומת עבדון:כניסה למצובה,1,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71::כניסה לבית השיטה:כניסה לשדה נחום,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75::כניסה ליפיע:כניסה ליער כפר החורש,2,33,2,11,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
75::כניסה למנשית זבדה:כניסה לבית שערים,1,5,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75::כניסה לרמת ישי:כניסה לקרית טבעון (מזרח),3,43,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75::כניסה לשער העמקים:צומת העמקים,1,24,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77::צומת ישי:צומת הלוחם הבדואי,3,38,2,11,0,3,1,0,0,11,0,0,1,0,0,0,0,0,0,3,0,0,0
77::כניסה לבית רימון:כניסה לטורען,1,11,1,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
77::כניסה לטורען:צומת שמשון - מחצבה,2,7,1,1,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0
77::צומת שמשון - מחצבה:כניסה לא תעשייה גליל תחתון,1,25,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77::יישוב טבריה שד ספיר:כניסה לטבריה רח בר כוכבא,1,3,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
79::צומת עין אפק:כניסה להסוללים,4,87,3,32,11,0,0,0,0,8,1,1,0,0,0,0,0,5,0,0,0,0,0
85::כניסה לתל עכו:צומת עכו (מזרח),1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85::צומת עכו (מזרח):כניסה לאל-מכר,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85::כניסה לאל-מכר:כניסה לבית עלמין עכו נחלת אשר,1,24,1,8,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
85::כניסה לבית עלמין עכו נחלת אשר:צומת יסיף,2,34,2,9,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
85::צומת יסיף:צומת אחיהוד,1,33,1,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85::צומת אחיהוד:כניסה להר גילון,3,35,2,8,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
85::מג'ד אל כרום דרום תחנת דלק:כניסה לנחף,4,76,4,20,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
85::כניסה לנחף:כניסה לאזור תעשיה כרמיאל,4,86,4,23,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
85::כניסה לאזור תעשיה כרמיאל:כניסה לשזור,2,8,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
85::כניסה לשזור:כניסה להר קדרים,6,85,4,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
85::כניסה להר קדרים:צומת כניסה לכחל,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87::צומת אלמגור (מזרח):כניסה ליהודייה (חניון),3,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89::כניסה לבי""ח נהרייה:כניסה לבן עמי",1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה לבן עמי:צומת כברי,1,8,1,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה למשתלת כברי:כניסה למעיליה,2,36,2,10,1,3,2,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0
89::כניסה למעיליה:כניסה למעלות,2,26,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה להר זבול:כניסה לסאסא,4,70,0,6,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89::כניסה למרום הגליל:יישוב צפת ש גני הדר,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91::צומת שיפון:כניסה לאורטל,3,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92::כניסה לתל קציר (צפון):כניסה לחניון האון,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92::כניסה לעין גב:כניסה לחוף גופרה,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92::כניסה לחוף חלוקים:כניסה לרמות,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לכרם שלום:צומת חולית,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::צומת חולית:כניסה לניר יצחק,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232::כניסה לעין הבשור:כניסה לתחנת דלק,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232::כניסה למ""א אשכול:כניסה לרעים (צפון",2,11,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
232::כניסה לאיבים:כניסה לאור הנר (מערב),2,9,1,1,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
232::צומת הודייה:כניסה לאשכולות,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234::צומת צאלים:כניסה לרעים,2,16,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
325::כניסה לאזור תעשייה אמבר דרום:כניסה לדביר,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358::צומת יער להב:כניסה לשומריה,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375::כניסה לזנוח:כניסה למטע,2,11,2,4,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
383::כניסה לגפן:כניסה לתירוש,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411::כניסה לעקרון:צומת מזכרת בתיה,2,8,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
411::כניסה למזכרת בתיה:מפגש עם מסילת ברזל,2,7,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1::צומת אלון:כניסה למצפה יריחו,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2::צומת תל ברוך:כניסה לתחנת דלק,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2::צומת הרצלייה:צומת נוף ים,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2::כניסה לגעש:כניסה ליקום,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2::כניסה למכון וינגייט:כניסה לאודים,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לנגבה:כניסה למשואות יצחק,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לעין צורים:כניסה לאביגדור,0,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לאביגדור:כניסה לכפר ורבורג,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לקריית מלאכי (דרום):כניסה לקריית מלאכי (צפון),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לקריית מלאכי (צפון):כניסה לתחנת דלק,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3::כניסה לבני ראם:כניסה למ""א שערי אברהם",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3::כניסה למ""א שערי אברהם:כניסה לרבדים",0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לרבדים:כניסה לבית חלקיה,0,6,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לבית חלקיה:כניסה ליד בנימין,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה לנחל שורק:כניסה לטל שחר,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3::כניסה למבוא חורון:כניסה לבית סירא (דרום),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה למכתש הקטן:כניסה למחצבה,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה למחצבה:כניסה לגבעת שפיפון,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לגבעת שפיפון:כניסה לממשית,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25::כניסה לממשית:כניסה לדימונה,0,5,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
25::כניסה לנבטים:כניסה לשגב שלום,0,10,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
